date,open,high,low,close,volume,X1,X2
7/7/16,56.66,57,56.47,56.91,6813347,55.97210349,0.75535
7/8/16,56.92,57,56.36,56.51,12655500,56.02333173,1.918325
7/11/16,56.8,56.92,56.06,56.32,10394366,56.05158585,2.006375
7/12/16,56.65,57.6,56.505,57.48,10998486,56.18762529,2.9741
7/13/16,56.8,57.26,56.35,56.48,12183638,56.2154705,0.2964
7/14/16,57,57.68,56.97,57.59,11353599,56.34637807,1.11835
7/15/16,57.69,57.74,57.125,57.41,8494000,56.4476754,0.567625
7/18/16,57.59,57.59,56.85,56.92,7614635,56.4926587,0.84585
7/19/16,56.85,57.135,56.545,56.76,8719772,56.51811977,0.6158
7/20/16,57,57.66,56.705,57.54,9446396,56.6154417,0.4127
7/21/16,57.62,57.67,57.0375,57.6,16151699,56.70920916,0.353425
7/22/16,57.6,58.24,57.2,57.9,23899275,56.82261781,1.1172
7/25/16,57.72,58.09,57.5,57.95,10486019,56.92998754,-1.15875
7/26/16,58.58,58.84,58.2,58.31,10106663,57.0614173,1.60305
7/27/16,58.38,58.4,57.67,57.85,6551777,57.13652041,-0.32045
7/28/16,57.88,58.31,57.74,58.21,6830059,57.23875656,-1.023825
7/29/16,58.18,58.43,57.92,58.05,6914907,57.31601784,-0.83235
8/1/16,58,58.05,57.43,57.63,7997576,57.34592091,-0.6935
8/2/16,57.25,57.34,56.54,56.73,7574622,57.28726177,-0.896825
8/3/16,56.46,56.59,55.72,55.94,11484792,57.15895113,-0.3843
8/4/16,56.05,56.29,55.38,55.42,11193748,56.99333673,-0.439325
8/5/16,55.8,56.12,55.52,55.9,9206197,56.88920943,0.961025
8/8/16,55.97,55.99,55.17,55.36,9129307,56.74357043,-0.2112
8/9/16,55.39,55.71,55.18,55.2,7136683,56.59656373,-0.3963
8/10/16,55.37,55.71,55.11,55.62,6991077,56.50355766,-0.132875
8/11/16,55.75,55.96,55.46,55.47,6191412,56.40512359,0.22605
8/12/16,55.27,55.745,55.23,55.47,5039757,56.3160642,-0.123
8/15/16,55.65,55.7,55.18,55.25,5968728,56.21453428,0.635675
8/16/16,55.25,55.57,54.92,55.37,5751178,56.13410244,0.361575
8/17/16,55.77,55.92,55.43,55.8,7410631,56.10228316,-0.78375
8/18/16,55.78,55.9,55.49,55.53,5390990,56.04778,0.6115
8/19/16,55.46,55.56,54.85,54.94,8981214,55.94227715,-0.075
8/22/16,54.98,55.92,54.95,55.85,8837808,55.93348885,1.492925
8/23/16,56.17,56.54,56,56.4,7827873,55.97791848,3.30945
8/24/16,57,57.98,56.95,57.09,13200460,56.08383101,2.6827
8/25/16,57.04,57.45,56.9,57.29,6686589,56.19870424,0.410775
8/26/16,57.48,57.83,56.995,57.29,6940511,56.30263717,-0.218775
8/29/16,57.22,57.48,56.61,56.8,7026700,56.35000506,-0.735525
8/30/16,56.66,56.75,56.01,56.4,6377668,56.35476648,0.933475
8/31/16,56.31,56.42,55.905,56.23,6996894,56.34288396,-0.740425
9/1/16,56.3,56.56,55.83,56.31,6230148,56.33975216,-0.600025
9/2/16,56.52,56.65,55.985,56.18,7441463,56.32453767,-0.64035
9/6/16,56.18,56.42,55.69,56.02,6472907,56.29553408,-0.58655
9/7/16,56.19,56.6,56.12,56.32,11428644,56.29786417,0.16185
9/8/16,56.1,56.15,55.2,55.3,12673626,56.20282948,0.463975
9/9/16,55.14,55.2,54.3,54.35,10658120,56.02636953,1.129925
9/12/16,53.92,54.79,53.92,54.71,11002544,55.90100101,0.32095
9/13/16,54.39,54.55,53.75,53.98,10050215,55.71804853,-0.5019
