Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
10/27/2015,214.84,217.1,207.51,210.35,3519449,35.8143179994,27.1061579146,23.1529777713,0.6164,0.7215,0.0828,0.391
10/28/2015,211.31,213.45,208.3,212.96,2728593,38.4143343746,34.6489361702,28.6313774588,-0.2343,0.5955,-0.2343,0.0746
10/29/2015,211.75,213.7481,210.64,211.63,1805032,37.5789649904,33.0931961121,31.6160967323,0.3915,0.4447,-0.1245,0.1259
10/30/2015,210.4,211.63,203.89,206.93,4438901,34.7066697054,29.1823899371,32.3081740731,-0.4895,-0.4707,-1.0632,-0.9421
11/02/2015,208.92,215.8,207.22,213.79,3927944,41.7097791384,30.1315037164,30.8023632552,0.1534,1.1773,0.1534,1.1661
11/03/2015,213.85,214.44,207.75,208.35,8332486,38.2098674149,26.3807890223,28.5648942253,1.0098,2.0775,1.0079,1.6614
11/04/2015,227,232.74,225.2,231.63,12726366,55.4412738632,53.6500449236,36.7207792208,2.3802,3.4422,2.3643,3.4422
11/05/2015,230.58,234.5843,229.19,231.77,4496843,55.5216043606,71.1008355835,50.3772231765,2.1542,2.257,1.3873,1.3873
11/06/2015,230.7,233.359,229.5,232.36,2445293,55.8825705698,93.5891046267,72.7799950446,0.2822,0.3084,-0.5426,-0.5186
11/09/2015,232.99,232.99,224.31,225.33,3850860,50.6119857285,85.0902695412,83.2600699171,0.2393,0.8752,0.0539,0.524
11/10/2015,223.48,223.7,216.08,216.5,4617007,44.885612494,68.5410368308,82.4068036662,-0.6422,-0.211,-0.7664,-0.3117
11/11/2015,217.77,219.48,213.63,219.08,3347806,46.7803201823,53.4735548077,69.0349537266,-0.4878,0.1699,-0.7608,0.0586
11/12/2015,217.85,219,212.66,212.94,2915900,42.9923883678,40.0182878689,54.0109598358,-0.0141,0.0743,-0.8929,-0.8524
11/13/2015,212.95,212.99,206.52,207.19,3430327,39.7465799317,29.9078330504,41.1332252423,-0.8817,-0.3065,-0.8863,-0.521
11/16/2015,206.09,214.98,205.8,214.31,2925395,45.2578304211,24.7277181757,31.5512796983,-0.2572,1.1454,-0.2572,1.1454
11/17/2015,215.2,216,211.4,214,2148679,45.0645579736,25.8788548145,26.8381353469,0.6701,1.2171,0.6471,1.1433
11/18/2015,214.5,221.38,212.52,221.07,2811900,50.2795502259,40.9522289155,30.5196006352,0.5935,1.6743,0.5511,1.6246
11/19/2015,220.54,226.19,220.3,221.8,2504375,50.7989047801,48.0077717363,38.2796184888,0.6561,1.069,0.3463,0.6295
11/20/2015,223.49,225,213.58,220.01,4400722,49.4353231947,53.6918682708,47.5506229742,0.3937,0.8721,-1.1959,-0.7523
11/23/2015,217.35,219.18,214.6798,217.75,2526199,47.6945753872,48.8229115641,50.1741838571,-0.5072,0.146,-0.624,0.146
11/24/2015,215.37,221,215,218.25,2480293,48.1297495203,44.7118741814,49.0755513388,-0.1938,0.323,-0.3921,0.1293
11/25/2015,221.34,230.825,220.375,229.64,3990779,56.9221718961,56.6678726993,50.0675528149,1.0601,3.4819,1.0601,3.466
11/27/2015,231.06,232.25,227.01,231.61,1949353,58.2406446772,74.3416098729,58.5737855845,1.3626,1.5089,0.8532,1.0127
11/30/2015,231.79,234.28,229.08,230.26,2659813,56.9541877268,89.04348244,73.3509883374,-0.1871,1.0366,-0.1878,0.5717
12/01/2015,231.06,238,231.05,237.19,3733955,61.6385285969,92.93274155,85.4392779543,0.4582,2.3409,0.2694,2.0214
12/02/2015,237,238.6,231.23,231.99,2981468,56.6563323277,87.7620881472,89.9127707124,1.2374,1.5652,-0.3278,-0.0001
12/03/2015,235.48,237.45,230,232.71,2939564,57.1725168267,86.390593047,89.0284742481,-0.5304,0.8023,-0.5933,0.8023
12/04/2015,232.46,233.27,227.66,230.38,2573603,54.8942012529,78.9430894309,84.365256875,-0.0929,0.1255,-0.6148,-0.2978
12/07/2015,227.7,235.63,226.15,231.13,3144223,55.5087986636,76.7456896552,80.6931240444,-0.8272,1.6741,-0.9109,1.54
12/08/2015,227.52,228.8,224.2,226.72,2687636,51.0998038227,67.9716542751,74.5534777871,1.7952,1.8132,-0.034,0.0417
12/09/2015,226.7,227.5,220.72,224.52,3057753,49.0084962312,57.3052362708,67.340860067,-0.8276,-0.1194,-0.8853,-0.8183
12/10/2015,224.71,228.49,223.64,227.07,2071692,51.4868339272,50.7488176563,58.6752360674,0.1401,1.643,0.1309,1.2615
12/11/2015,225.24,225.75,216.64,217.02,3268726,42.6820534433,36.1954132087,48.0831557119,-0.0662,-0.0456,-0.6084,-0.1274
12/14/2015,217.51,220.92,214.87,218.58,2831518,44.2750514856,26.8888760455,37.9443689702,-0.9227,-0.558,-1.4105,-0.6149
